,hashtag,hashtag_class,true_segmentation
0,подтопленными,5,0000000000001
1,службыкинологической7центр,7,00000100000000000001100001
2,человек7007россии,6,00000010001000001
3,компанией,5,000000001
4,поступилосообщениелетней,7,000000001000000001000001
5,препятствиями,5,0000000000001
6,вашему5330,5,0000010001
7,8677апрелягода,6,00010000010001
8,паркакультуры,6,0000100000001
9,приниматьучастие,6,0000000010000001
10,сообщил,5,0000001
11,проведенныхходе249,6,000000000010001001
12,указанному9,5,00000000011
13,северным2410,5,000000010001
14,поблагодарилисотрудников,6,000000000000100000000001
15,порта,5,00001
16,мчсмчсроссиисотрудники,7,0010000000010000000001
17,зданийсооружений,6,0000010000000001
18,1водительавтодорога,7,1000000010001000001
19,комментариирепосту,6,000000000010000001
20,личный,5,000001
21,3111награжденыорденамимедалями,7,000100000000010000000100000001
22,москвыполицейские,6,00000100000000001
23,азиисреднейуроженцы28,7,000100000010000000101
24,днейназад,6,000100001
25,81продажупоступит,6,01000000100000001
26,круглосуточных,5,00000000000001
27,совместная550,5,0000000001001
28,10известного,5,010000000001
29,спасателимчсроссии,7,000000001001000001
30,школьных,5,00000001
31,катеров74,5,000000101
32,поисковорегионального7,6,0000000100000000000011
33,каждымгодом973,6,00000100001001
34,ульяновска,5,0000000001
35,софьяхотина,6,00001000001
36,самолетывернулисьаэродромы,7,00000001000000001000000001
37,41районуроссииомвд,7,010000010000010001
38,преддвериипразднования,6,0000000001000000000001
39,войнытруженикам,6,000010000000001
40,водах,5,00001
41,экстренныхслужб,6,000000000100001
42,детскийцентр,6,000000100001
43,пентагона,5,000000001
44,3профилактическуюоперативно,6,100000000000000010000000001
45,столицылетний7житель,7,00000010000011000001
46,домашнийадрес6371,6,00000001000010001
47,ближайшей,5,000000001
48,обращаетсягражданам,6,0000000001000000001
49,экипажи6танков,6,00000011000001
50,541желаю,5,00100001
51,сбыта,5,00001
52,2597двигаться,5,0001000000001
53,организации8занятия,6,0000000000110000001
54,выбиратьальтернативные,6,0000000100000000000001
55,имизадержали41подозреваемых,7,001000000001010000000000001
56,филателиядрузьямарки4247,7,000000001000001000010001
57,придет,5,000001
58,21осуществление,5,010000000000001
59,трассы,5,000001
60,518позвонитьслужбутелефонам,7,001000000001000001000000001
61,космическогоцентра,6,000000000001000001
62,россиипочты708автопарке,7,00000100001001000000001
63,января,5,000001
64,превышает,5,000000001
65,смт71,5,00101
66,вещество,5,00000001
67,лефортоворайону4170россии,7,0000000010000010001000001
68,0293алина,5,000100001
69,знать5728важно,6,00001000100001
70,девочке,5,0000001
71,дня67образованиягодовщиной,7,00101000000000010000000001
72,соблюдатьбезопаснуюдистанцию,7,0000000010000000001000000001
73,69продолжении,5,0100000000001
74,пожароопасному,5,00000000000001
75,экц,5,001
76,участие30начальникприняли,7,0000001010000000010000001
77,понравится40,5,000000000101
78,моменту,5,0000001
79,обороне,5,0000001
80,мчсроссииудалось,7,0010000010000001
81,сирия704минобороны,6,000010010000000001
82,партнеров,5,000000001
83,направленное,5,000000000001
84,заявилсергей,6,000001000001
85,почтовойотделения66,6,0000000100000000101
86,выполняют,5,000000001
87,проблемам,5,000000001
88,данномуграммовфакту2,7,00000010000001000011
89,психологимчсроссии,7,000000001001000001
90,387квартирыкраже,6,0010000000100001
91,участниковдорожного,6,0000000001000000001
92,37танков,5,01000001
93,квн2,5,0011
94,полициисотрудникиустановили51,7,00000010000000001000000000101
95,провелитренировку,6,00000010000000001
96,справился778,5,000000001001
97,годподряд,6,001000001
98,2787помех,5,000100001
99,0акваторией,5,10000000001
100,раскрыто0,5,000000011
101,поддержкесиловойсобр1374,7,000000001000000100010001
102,телефонгорячейлинии,7,0000001000000100001
103,отделениепочтовой,6,00000000100000001
104,почтовыхотделенийтысяч91,7,000000010000000010000101
105,шойгусказалсергей9,7,000010000010000011
106,вашимсемьям,6,00001000001
107,90восточноерайонуроссии,7,01000000001000001000001
108,жидкости,5,00000001
109,частного,5,00000001
110,следственной,5,000000000001
111,времяторжественнойцеремонии,7,000010000000000001000000001
112,возложенияцветов,6,0000000001000001
113,нелегал5,5,00000011
114,юар,5,001
115,связипочтовой77отделения,7,000010000000101000000001
116,машиныпехоты,6,000001000001
117,миллионы,5,00000001
118,олимпиады6,5,0000000011
119,движениеучасткетранспорта3,7,00000001000000100000000011
120,владимирпучковпринял,7,00000001000001000001
121,подозреваемыезадержаны,6,0000000000001000000001
122,изготовленштемпель,6,000000000100000001
123,акциюполицейский76,6,000010000000000101
124,положение,5,000000001
125,турнира,5,0000001
126,будучи,5,000001
127,1ситуацией,5,1000000001
128,специализированный,5,000000000000000001
129,неблагоприятныхучетомпогодных7597,7,000000000000001000001000000010001
130,рабочей,5,0000001
131,ущербсоставилоколо,7,000010000000100001
132,864уголовнойадминистративнойответственности,7,0010000000010000000000000001000000000000001
133,предупрежденияракетном069нападении,7,0000000000000100000001001000000001
134,направленных94разыскныхмероприятий,7,0000000000010100000000100000000001
135,персонала,5,000000001
136,отношение,5,000000001
137,виделишениясвободы,7,000100000010000001
138,круглосуточное,5,00000000000001
139,328частьспасательнуюпожарно,7,001000010000000000010000001
140,почтоваяслужба,6,00000001000001
141,традиционной477,5,000000000001001
142,ветеранаммчс,6,000000001001
143,приехать0,5,000000011
144,судимыйлетний,6,0000001000001
145,сложныхметеоусловиях,6,00000010000000000001
146,техническогосотрудничества,6,00000000000100000000000001
147,розыскзаявление03,6,00000100000000101
148,рискамикатастрофстихийных,7,0000001000000001000000001
149,набережной0фрунзенской,6,0000000001100000000001
150,4451ограничения,5,000100000000001
151,часмин,6,001001
152,3688сразу,5,000100001
153,военнойроссийской2базы,7,0000001000000000110001
154,времяпроводится,6,000010000000001
155,отличия,5,0000001
156,миграционныймногофункциональный8854,6,00000000000100000000000000000010001
157,деятельностиполиции,6,0000000000010000001
158,уделяется45,5,00000000101
159,мербезопасности73,6,00100000000000101
160,морально2психологическогообеспечения,7,000000011000000000000000100000000001
161,сотрудниковоргановвнутренних,7,0000000000100000010000000001
162,видовразличных4776,6,000010000000010001
163,шахте,5,00001
164,8356наступил,5,000100000001
165,вручилгосударственные00,6,00000100000000000000101
166,проверенных0568,5,000000000010001
167,8751силсеверного,6,0001001000000001
168,ходеличного36досмотра,7,000100000010100000001
169,02здание,5,01000001
170,медальюотличиеохране,7,00000010000001000001
171,высокиепоказатели076,6,00000010000000001001
172,балтийскаоктябрявышел,7,000000001000000100001
